Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
11/11/20,159.69,3336512,1.62,1.02,1.02,184.79,122.72,159.45,162.57,158.75,92.47
11/10/20,158.07,3577873,3.16,2.04,2.04,182.92,120.46,157.04,159.06,156.56,90.51
11/09/20,154.91,5092826,-6.59,-4.08,-4.08,179.26,116.05,163.15,163.16,154.75,86.71
11/06/20,161.50,3498036,2.87,1.81,1.81,186.88,125.24,158.65,161.90,158.53,94.65
11/05/20,158.63,3114899,2.01,1.28,1.28,183.56,121.24,159.74,159.87,156.54,91.19
11/04/20,156.62,3156872,-0.11,-0.07,-0.07,181.24,118.44,157.22,159.49,155.25,88.77
11/03/20,156.73,2545379,2.34,1.52,1.52,181.36,118.59,156.32,158.71,155.43,88.90
11/02/20,154.39,2674299,2.17,1.43,1.43,178.66,115.33,154.00,155.12,152.80,86.08
10/30/20,152.22,3694809,-2.03,-1.32,-1.32,176.15,112.30,153.32,154.14,150.80,83.46
10/29/20,154.25,2157971,-0.96,-0.62,-0.62,178.50,115.13,155.24,156.09,153.37,85.91
10/28/20,155.21,2656149,-1.82,-1.16,-1.16,179.61,116.47,154.91,157.27,154.11,87.07
10/27/20,157.03,2406066,-0.94,-0.60,-0.60,181.71,119.01,158.07,158.88,156.68,89.26
10/26/20,157.97,2310577,-2.26,-1.41,-1.41,182.80,120.32,158.84,159.39,156.30,90.39
10/23/20,160.23,1817012,0.63,0.39,0.39,185.42,123.47,160.39,160.39,158.81,93.12
10/22/20,159.60,3649395,-3.69,-2.26,-2.26,184.69,122.59,163.07,163.38,159.34,92.36
10/21/20,163.29,3033868,-1.58,-0.96,-0.96,188.96,127.74,165.75,166.20,162.95,96.81
10/20/20,164.87,2698956,0.82,0.50,0.50,190.78,129.94,164.95,167.42,163.82,98.71
10/19/20,164.05,2322539,-0.87,-0.53,-0.53,189.84,128.80,166.21,166.96,163.82,97.72
10/16/20,164.92,5048946,-0.54,-0.33,-0.33,190.84,130.01,165.91,167.25,164.36,98.77
10/15/20,165.46,1859375,1.49,0.91,0.91,191.47,130.77,161.84,165.46,161.12,99.42
10/14/20,163.97,2286154,-1.67,-1.01,-1.01,189.74,128.69,165.98,166.16,162.60,97.63
10/13/20,165.64,2015231,1.07,0.65,0.65,191.68,131.02,164.57,166.68,164.15,99.64
10/12/20,164.57,2436329,0.86,0.53,0.53,190.44,129.53,164.30,165.49,163.62,98.35
10/09/20,163.71,2582692,1.85,1.14,1.14,189.44,128.33,162.20,164.81,162.10,97.31
10/08/20,161.86,2189233,1.18,0.73,0.73,187.30,125.75,162.60,163.32,161.39,95.08
10/07/20,160.68,2927019,2.27,1.43,1.43,185.94,124.10,160.06,161.61,159.61,93.66
10/06/20,158.41,2932595,-3.08,-1.91,-1.91,183.31,120.93,161.47,161.98,157.61,90.92
10/05/20,161.49,2268568,2.39,1.50,1.50,186.87,125.23,159.99,162.31,159.99,94.64
10/02/20,159.10,1978717,0.50,0.32,0.32,184.11,121.90,156.97,159.99,156.16,91.76
10/01/20,158.60,3866185,1.18,0.75,0.75,183.53,121.20,158.41,160.89,158.10,91.15
09/30/20,157.42,2806214,0.48,0.31,0.31,182.16,119.55,157.45,159.15,156.50,89.73
09/29/20,156.94,2784544,0.48,0.31,0.31,181.61,118.88,156.75,158.43,155.87,89.15
